id,genres,vote_average,vote_count,popularity,title,overview,tagline,keywords,score
13685,Comedy Crime Drama,6.8,285.0,6.904831,Bottle Rocket,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.","They're not really criminals, but everyone's got to have a dream.",brother brother relationship robbery burglar language barrier motel independent film psychiatric hospital maid theft nervous breakdown escapade laundry room,6.697310942335047
9614,Comedy,6.5,767.0,9.592265,Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",He doesn't play golf... he destroys it.,loss of mother loss of father golf sport taxes,6.521796973233499
688,Drama Romance,7.3,397.0,5.951077,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,farewell adultery love at first sight photographer wife husband relationship iowa love of one's life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary,7.0159773679169515
197,Action Drama History War,7.7,3404.0,20.755149,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Every man dies. Not every man truly lives.,individual scotland in love with enemy legend independence idealism revolt tyranny,7.620357088231662
103,Crime Drama,8.1,2632.0,14.092713,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","On every street in every city, there's a nobody who dreams of being a somebody.",vietnam veteran taxi obsession drug dealer night shift vigilante alienation misanthrope shot to death illegal prostitution loner,7.962898785576113
11000,Comedy,6.7,303.0,6.49968,The Birdcage,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.,Come as you are.,gay drag queen homophobia florida coming out senator politician lgbt crossdressing 1990s,6.6469541335526925
9737,Action Comedy Crime Thriller,6.5,1729.0,9.262184,Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",Whatcha gonna do?,miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference to skittles black cop badge action hero corrupt cop,6.5112652362919485
10474,Drama Crime,7.2,472.0,7.415144,The Basketball Diaries,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,The true story of the death of innocence and the birth of an artist.,sport basketball addiction friends drug,6.980693576917263
568,Drama,7.3,1637.0,18.761467,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","Houston, we have a problem.",moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident,7.20143711714443
414,Action Crime Fantasy,5.2,1529.0,13.321354,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.","Courage now, truth always...",riddle dc comics rose gotham city partner superhero robin broken neck psychologist violence criminal district attorney millionaire falling down stairs tied up tommy gun beretta knocked out super powers disfigurement father figure,5.40269630678798
8839,Fantasy Comedy Family,6.0,1045.0,12.812539,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",Get an afterlife,halloween friendship supernatural afterlife friends danger ghost disorder young heroes imaginary supernatural ability mischievous children,6.117390271964248
8963,Action Thriller Drama,7.0,508.0,8.657365,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",Danger runs deep.,submarine mutiny russia missile nuclear missile embassy u.s. navy battle for power torpedo military moral dilemma post cold war aircraft carrier chain of command launch code sonar,6.85899881228217
8068,Thriller Action Crime,6.8,898.0,6.950458,Desperado,A gunslinger is embroiled in a war with a local drug runner.,"When the smoke clears, it just means he's reloading.",gunslinger anti terror ambush mexico showdown guitar nudity hitman bartender revenge tragic hero shootout mariachi explosion extreme violence brutality drug lord leg brace concealed weapon flashback bookstore,6.751576797807993
1572,Action Thriller,6.9,2094.0,15.138855,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",Think fast. Look alive. Die hard.,bomb taxi riddle robbery detective helicopter gold subway ship fistfight police sequel deception shootout new york city explosion violence car chase fbi agent simon says flashback dump truck aqueduct action hero federal reserve bank,6.865037812163528
6520,Action Adventure Drama Romance,5.9,319.0,15.178338,First Knight,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",Their greatest battle would be for her love.,camelot knight king arthur excalibur knights of the round table,6.209172264126112
10428,Action Crime Thriller Drama,6.2,406.0,14.810519,Hackers,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.","There is no right or wrong, only fun and boring",female nudity hacker nudity computer virus virtual reality computer sexual fantasy prank internet cyberpunk teenager new york city secret service computer hacker dream sequence,6.351241145894118
9886,Adventure Action Drama Science Fiction Thriller,5.5,380.0,11.715868,Johnny Mnemonic,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.  In a dystopian 2021, Johnny (Keanu Reeves) is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits - and will kill him if the data is not removed in time - but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",The hottest data on earth. In the coolest head in town.,brain childhood memory dystopia pharmaceutical industry computer chip courier cyber cyberpunk,5.943035958656186
9482,Science Fiction,5.4,643.0,8.184815,Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.","In the future, one man is the law.",judge post-apocalyptic dystopia based on comic police officer based on graphic novel frame up dystopic future framed for murder gene prosthetic limb post holocaust dna testing dredd 2000 ad,5.7432365585163225
2293,Romance Comedy,6.8,400.0,8.25547,Mallrats,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",They're not there to shop. They're not there to work. They're just there.,sex game show slacker shopping mall ex-boyfriend ex-girlfriend relationship jay and silent bob silent man coke bandleader aftercreditsstinger,6.715149675917328
1642,Crime Drama Mystery Thriller Action,5.6,359.0,13.304342,The Net,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...","No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen.",cheating new identity computer virus chase computer stalking,6.015827834874832
9348,Science Fiction Horror Action,5.5,457.0,13.492845,Species,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",Our time is up.,telepathy dna paranoia genetics instinct femme fatale alien on the run decapitation sexual attraction los angeles cocoon genetic engineering scientists alien dna,5.895589826783409
281,Crime Drama Science Fiction Thriller,6.8,334.0,11.223055,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",You know you want it.,pornography prostitute rape police brutality dream ex-girlfriend future bodyguard rapper virtual reality dystopia minidisc police ex-cop murder cyberpunk los angeles violence criminal private detective revolt woman director,6.705753499089381
9804,Adventure Action,5.9,1017.0,16.885184,Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",Beyond the horizon lies the secret to a new beginning.,ocean tattoo mutant water dystopia doomsday,6.040444945627264
76,Drama Romance,7.7,984.0,11.304979,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",Can the greatest romance of your life last only one night?,dialogue sunrise talking soulmates walking austria traveller danube bittersweet romantic vienna,7.4656734233204425
11017,Comedy,6.2,464.0,6.638116,Billy Madison,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",Billy is going back to school... Way back.,woman director,6.339158519913597
2292,Comedy,7.4,769.0,10.513367,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",Just because they serve you doesn't mean they like you.,salesclerk loser aftercreditsstinger,7.1930446997645685
8467,Comedy,6.5,1894.0,9.844558,Dumb and Dumber,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.","What the one doesn't have, the other is missing.",gas station motel utah stupidity pill prank cigar smoking violence criminal fired from the job clumsiness stepmother stepdaughter relationship sitting on a toilet aspen colorado parakeet defecation scooter hotel suite endangered species foolish laxative,6.510403100861443
522,Comedy Drama History,7.3,639.0,11.720358,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.","When it came to making bad movies, Ed Wood was the best.",individual taxi transsexuality fortune teller film business film making film producer vororte film maker boxer film director oddball celebrity morphine movie studio los angeles drug addict cult director theremin handgun trick or treating actor transvestite,7.092263135912621
15789,Romance Animation Family Comedy Adventure,6.7,404.0,10.177977,A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",It's the story of a father who couldn't be closer...to driving his son crazy.,father son relationship pop singer musical celebrity road trip dead mother first love goofy,6.65499862681272
1024,Drama Fantasy,6.9,299.0,9.438042,Heavenly Creatures,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.",From a secret world no one could see... came a crime no one could believe.,mother sex secret obsession literature nudity fantasy passion love friends murder independent film lesbian true relationship,6.753171275324904
628,Horror Romance,7.2,1558.0,11.970205,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",Drink from me and live forever,paris san francisco vampire plantation pity bite fang vamp,7.11155444255894
6280,Comedy Family Romance,4.7,381.0,6.710215,Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",Nothing is inconceivable,baby medicine media pregnancy scientist science male pregnancy fertility gynaecology ceasarean birth,5.468318950944434
11,Adventure Action Science Fiction,8.1,6778.0,42.149697,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",android galaxy hermit death star lightsaber jedi rescue mission empire rebellion planet smuggler the force space opera galactic war stormtrooper totalitarianism,8.043640495093362
4476,Adventure Drama Romance War,7.2,636.0,12.199047,Legends of the Fall,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.",After the Fall from Innocence the Legend begins.,brother brother relationship montana based on novel world war i journey round the world,7.020745084028141
3036,Drama Horror Science Fiction Romance,6.1,272.0,14.287753,Mary Shelley's Frankenstein,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",Be Warned.  It's Alive,human experimentation frankenstein remake,6.338256714339459
241,Crime Thriller Drama,6.9,927.0,11.226856,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,The Media Made Them Superstars.,sadistic journalist mass murder yellow press trauma daughter satire controversy controversial violence young couple abuse,6.830722527718479
6950,Action Drama Science Fiction Thriller,6.4,522.0,13.676444,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,river general research army serum monkey epidemic medical research,6.462026894715908
101,Thriller Crime Drama,8.2,4293.0,20.477329,Leon: The Professional,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.","If you want a job done well, hire a professional.",new york corruption assassin police brutality loss of family s.w.a.t. immigrant hitman training revenge murder loneliness neighbor tragic love cult film neo-noir complex relationship complex characters,8.1071414018567
680,Thriller Crime,8.3,8670.0,140.950236,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Just because you are a character doesn't mean you have character.,transporter brothel drug dealer boxer massage stolen money crime boss dance contest junkyard kamikaze ambiguous ending briefcase redemption heirloom pulp fiction reference to al green theft brutality,8.249712168098664
11450,History Drama,7.1,262.0,7.772505,Quiz Show,Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s.,Fifty million people watched but no one saw a thing.,television tv show manipulation manipulation of the media product placement investigation tv ratings quiz show fragen lawyer,6.842803598200899
12106,Action Western,6.2,431.0,7.54701,The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",Think you are quick enough?,gunslinger revenge prairie shootout pistol,6.345785116099958
2636,Action Thriller,5.5,317.0,10.388183,The Specialist,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues.",The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,explosive revenge explosives expert,5.991241943794941
2164,Action Adventure Science Fiction,6.8,942.0,13.328924,Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",It will take you a million light years from home. But will it bring you back?,space travel teleportation uprising shot to death androgyny space western outer space timebomb death of son nuclear weapons invented language hieroglyph egyptian mythology egyptology,6.75334641649275
11395,Fantasy Drama Comedy Family,6.3,501.0,9.665424,The Santa Clause,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas.",What if your dad was Santa Claus?,holiday christmas party santa claus deal christmas tree christmas,6.398072195881088
